data,type
1.5,small group
1.3,small group
1.2,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.3,small group
1.4,small group
1.3,small group
1.5,small group
1.3,small group
1.2,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.2,small group
1.3,small group
1.3,small group
1.5,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.4,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.4,small group
1.3,small group
1.3,small group
1.5,small group
1.4,small group
1.4,small group
1.5,small group
1.4,small group
1.3,small group
1.5,small group
1.3,small group
1.4,small group
1.5,small group
1.6,small group
1.4,small group
1.4,small group
1.4,small group
1.5,small group
1.4,small group
1.5,small group
1.3,small group
1.3,small group
1.4,small group
1.4,small group
1.6,small group
1.3,small group
1.3,small group
1.4,small group
1.3,small group
1.3,small group
1.5,small group
1.4,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.3,small group
1.4,small group
1.5,small group
1.3,small group
1.4,small group
1.4,small group
1.3,small group
1.4,small group
1.5,small group
1.3,small group
1.3,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.3,small group
1.5,small group
1.5,small group
1.3,small group
1.3,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.5,small group
1.5,small group
1.4,small group
1.5,small group
1.4,small group
1.6,small group
1.3,small group
1.4,small group
1.4,small group
1.4,small group
1.4,small group
1.5,small group
1.4,small group
1.4,small group
1.4,small group
1.3,small group
1.4,small group
1.4,small group
1.5,small group
1.5,small group
1.6,small group
1.5,small group
1.4,small group
1.5,small group
1.6,small group
1.5,small group
1.5,small group
1.4,small group
1.4,small group
1.5,small group
1.6,small group
1.5,small group
1.4,small group
1.5,small group
1.5,small group
1.5,small group
1.4,small group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.7,big group
1.7,big group
1.7,big group
1.7,big group
1.6,big group
1.7,big group
1.7,big group
1.7,big group
1.8,big group
1.7,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.7,big group
1.8,big group
1.8,big group
1.7,big group
1.8,big group
1.8,big group
1.7,big group
1.7,big group
1.8,big group
1.8,big group
1.7,big group
1.7,big group
1.8,big group
1.6,big group
2.1,big group
1.7,big group
1.7,big group
1.7,big group
1.8,big group
1.8,big group
1.8,big group
2,big group
2,big group
1.9,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.9,big group
1.7,big group
1.8,big group
2.1,big group
2,big group
1.8,big group
1.8,big group
1.8,big group
1.6,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
2,big group
1.7,big group
2,big group
1.8,big group
2,big group
1.8,big group
1.7,big group
2,big group
1.9,big group
1.8,big group
1.8,big group
1.8,big group
1.8,big group
1.7,big group
1.8,big group
1.8,big group
1.8,big group
1.7,big group
1.8,big group
1.8,big group
1.7,big group
1.9,big group
2,big group
1.8,big group
1.8,big group
1.9,big group
1.8,big group
1.9,big group
1.8,big group
1.8,big group
2,big group
1.9,big group
1.9,big group
2.1,big group
2.1,big group
1.8,big group
1.8,big group
1.9,big group
1.9,big group
1.9,big group
1.9,big group
1.9,big group
1.8,big group
1.9,big group
1.8,big group
1.8,big group
2,big group
1.9,big group
1.9,big group
1.9,big group
1.8,big group
1.9,big group
1.9,big group
1.9,big group
1.9,big group
1.9,big group
1.8,big group
1.8,big group
1.8,big group
1.9,big group
1.9,big group
2,big group
1.8,big group
2,big group
1.9,big group
1.9,big group
1.9,big group
1.8,big group
1.9,big group
2,big group
1.9,big group
1.9,big group
1.9,big group
1.8,big group
1.8,big group
1.9,big group
1.9,big group
1.9,big group
2,big group
1.9,big group
2,big group
2,big group
2,big group
