data,type
4.2,small group
4.2,small group
4.1,small group
4.6,small group
4.7,small group
4.6,small group
4.4,small group
4.5,small group
4.5,small group
4.4,small group
4.4,small group
4.5,small group
4.6,small group
4.9,small group
4.5,small group
4.7,small group
4.6,small group
4.6,small group
4.7,small group
4.7,small group
4.5,small group
4.8,small group
4.9,small group
4.5,small group
4.6,small group
4.5,small group
4.7,small group
4.6,small group
4.8,small group
4.4,small group
4.6,small group
4.5,small group
4.8,small group
4.8,small group
4.5,small group
4.6,small group
4.8,small group
5,small group
4.8,small group
5.3,small group
4.8,small group
4.8,small group
4.9,small group
4.9,small group
4.6,small group
4.8,small group
4.8,small group
4.9,small group
4.7,small group
4.6,small group
4.9,small group
4.5,small group
4.8,small group
4.8,small group
5,small group
4.6,small group
4.7,small group
4.9,small group
5.1,small group
4.9,small group
4.8,small group
4.9,small group
4.9,small group
5,small group
5,small group
4.5,small group
4.9,small group
5.1,small group
4.7,small group
4.8,small group
4.9,small group
5.2,small group
5.2,small group
4.8,small group
4.9,small group
5,small group
5,small group
5.1,small group
4.9,small group
4.8,small group
5,small group
5.3,small group
4.7,small group
4.9,small group
4.9,small group
5,small group
4.9,small group
5,small group
5,small group
4.9,small group
5,small group
5,small group
5.1,small group
5,small group
5.3,small group
5,small group
5,small group
4.9,small group
5,small group
5.4,small group
5,small group
5,small group
4.8,small group
5,small group
5.2,small group
4.8,small group
4.9,small group
5.3,small group
5,small group
5.2,small group
4.9,small group
5,small group
5.2,small group
5.2,small group
4.8,small group
5,small group
5.2,small group
5,small group
5.1,small group
4.9,small group
5.1,small group
5.3,small group
4.8,small group
5.1,small group
5.1,small group
5.3,small group
5.3,small group
5.1,small group
5.3,small group
5.4,small group
5.1,small group
4.9,small group
4.9,small group
5.4,small group
5.4,small group
5.4,small group
4.6,small group
5.2,small group
5.2,small group
5.3,small group
5,small group
5.2,small group
5.3,small group
5,small group
6.1,big group
5.8,big group
5.5,big group
6,big group
5.9,big group
5.9,big group
6.2,big group
5.8,big group
5.7,big group
6,big group
5.5,big group
6.2,big group
6,big group
6,big group
6,big group
6.3,big group
6,big group
6,big group
6.2,big group
6,big group
5.9,big group
6,big group
6,big group
5.9,big group
5.8,big group
5.8,big group
6.2,big group
6.2,big group
6.1,big group
6,big group
6,big group
5.8,big group
6,big group
5.8,big group
6.2,big group
6.1,big group
6.3,big group
6.4,big group
6.2,big group
6,big group
5.7,big group
5.8,big group
5.8,big group
6.2,big group
6,big group
5.7,big group
6.2,big group
6.4,big group
6.1,big group
6.2,big group
6.1,big group
5.8,big group
5.7,big group
6.3,big group
6.1,big group
6.1,big group
6.1,big group
6.1,big group
5.9,big group
6,big group
6.5,big group
6.2,big group
6,big group
6.3,big group
6.1,big group
5.9,big group
6.5,big group
6,big group
6,big group
6.3,big group
6.1,big group
6.4,big group
6.3,big group
6.1,big group
6,big group
6,big group
6.1,big group
5.8,big group
6.5,big group
6.2,big group
6.2,big group
6,big group
6.4,big group
6.6,big group
6.2,big group
6.1,big group
6.1,big group
6.2,big group
6,big group
6.1,big group
6,big group
6.2,big group
6.3,big group
6.1,big group
6.4,big group
6.6,big group
6,big group
6.3,big group
6.2,big group
6.2,big group
6.3,big group
6.2,big group
6.2,big group
6,big group
6.3,big group
6.3,big group
6.2,big group
6.2,big group
6,big group
6.4,big group
6.2,big group
6.6,big group
6,big group
6.2,big group
6.2,big group
6.1,big group
6.1,big group
6.2,big group
6.1,big group
6,big group
6,big group
6.7,big group
6.6,big group
6.4,big group
6.4,big group
6.4,big group
6.3,big group
6.4,big group
6.4,big group
6.5,big group
6.5,big group
6.2,big group
6.3,big group
6.5,big group
7,big group
6.9,big group
6.5,big group
6.6,big group
6.5,big group
6.4,big group
6.5,big group
6.8,big group
6.6,big group
6.5,big group
