data,type
1.8,small group
1.88,small group
1.9,small group
1.92,small group
1.94,small group
1.98,small group
2,small group
2.04,small group
2.04,small group
2.05,small group
2.08,small group
2.1,small group
2.12,small group
2.18,small group
2.2,small group
2.21,small group
2.24,small group
2.25,small group
2.25,small group
2.25,small group
2.26,small group
2.26,small group
2.27,small group
2.29,small group
2.3,small group
2.34,small group
2.35,small group
2.36,small group
2.37,small group
2.39,small group
2.39,small group
2.4,small group
2.44,small group
2.45,small group
2.46,small group
2.46,small group
2.46,small group
2.46,small group
2.48,small group
2.48,small group
2.5,small group
2.5,small group
2.51,small group
2.51,small group
2.53,small group
2.53,small group
2.55,small group
2.55,small group
2.57,small group
2.58,small group
2.61,small group
2.62,small group
2.62,small group
2.62,small group
2.62,small group
2.63,small group
2.63,small group
2.63,small group
2.64,small group
2.67,small group
2.68,small group
2.68,small group
2.68,small group
2.68,small group
2.68,small group
2.69,small group
2.69,small group
2.69,small group
2.71,small group
2.71,small group
2.72,small group
2.72,small group
2.73,small group
2.74,small group
2.74,small group
2.74,small group
2.74,small group
2.74,small group
2.76,small group
2.78,small group
2.78,small group
2.78,small group
2.8,small group
2.8,small group
2.8,small group
2.8,small group
2.81,small group
2.81,small group
2.81,small group
2.83,small group
2.84,small group
2.85,small group
2.85,small group
2.86,small group
2.86,small group
2.87,small group
2.88,small group
2.89,small group
2.9,small group
2.9,small group
2.91,small group
2.91,small group
2.92,small group
2.94,small group
2.94,small group
2.95,small group
2.95,small group
2.95,small group
2.97,small group
2.97,small group
2.98,small group
2.99,small group
2.99,small group
2.99,small group
3.01,small group
3.02,small group
3.02,small group
3.03,small group
3.03,small group
3.04,small group
3.04,small group
3.05,small group
3.07,small group
3.07,small group
3.08,small group
3.08,small group
3.1,small group
3.11,small group
3.11,small group
3.11,small group
3.12,small group
3.13,small group
3.13,small group
3.13,small group
3.13,small group
3.13,small group
3.14,small group
3.14,small group
3.14,small group
3.14,small group
3.15,small group
3.16,small group
3.16,small group
3.17,small group
5.12,big group
5.13,big group
5.13,big group
5.14,big group
5.14,big group
5.15,big group
5.16,big group
5.16,big group
5.16,big group
5.17,big group
5.17,big group
5.18,big group
5.18,big group
5.18,big group
5.18,big group
5.2,big group
5.21,big group
5.22,big group
5.24,big group
5.25,big group
5.26,big group
5.28,big group
5.28,big group
5.28,big group
5.3,big group
5.3,big group
5.32,big group
5.32,big group
5.32,big group
5.34,big group
5.34,big group
5.34,big group
5.35,big group
5.37,big group
5.38,big group
5.38,big group
5.39,big group
5.4,big group
5.4,big group
5.41,big group
5.41,big group
5.42,big group
5.43,big group
5.44,big group
5.44,big group
5.44,big group
5.46,big group
5.47,big group
5.47,big group
5.48,big group
5.49,big group
5.5,big group
5.52,big group
5.53,big group
5.53,big group
5.53,big group
5.55,big group
5.55,big group
5.56,big group
5.58,big group
5.61,big group
5.62,big group
5.62,big group
5.63,big group
5.63,big group
5.63,big group
5.65,big group
5.66,big group
5.66,big group
5.68,big group
5.69,big group
5.71,big group
5.72,big group
5.72,big group
5.72,big group
5.73,big group
5.74,big group
5.74,big group
5.76,big group
5.76,big group
5.76,big group
5.77,big group
5.78,big group
5.79,big group
5.81,big group
5.83,big group
5.84,big group
5.86,big group
5.86,big group
5.9,big group
5.9,big group
5.92,big group
5.93,big group
5.94,big group
5.96,big group
5.98,big group
6.01,big group
6.02,big group
6.02,big group
6.02,big group
6.05,big group
6.05,big group
6.06,big group
6.07,big group
6.08,big group
6.08,big group
6.08,big group
6.08,big group
6.08,big group
6.1,big group
6.1,big group
6.22,big group
6.23,big group
6.24,big group
6.24,big group
6.24,big group
6.26,big group
6.27,big group
6.29,big group
6.3,big group
6.35,big group
6.38,big group
6.39,big group
6.39,big group
6.39,big group
6.41,big group
6.47,big group
6.48,big group
6.49,big group
6.51,big group
6.52,big group
6.53,big group
6.56,big group
6.73,big group
6.75,big group
6.77,big group
6.91,big group
6.92,big group
6.92,big group
7,big group
7.09,big group
7.13,big group
7.28,big group
7.3,big group
