"","source","target","value"
"1",0,1,124.729
"2",1,2,0.597
"3",1,3,26.862
"4",1,4,280.322
"5",1,5,81.144
"6",6,2,35
"7",7,4,35
"8",8,9,11.606
"9",10,9,63.965
"10",9,4,75.571
"11",11,12,10.639
"12",11,13,22.505
"13",11,14,46.184
"14",15,16,104.453
"15",15,14,113.726
"16",15,17,27.14
"17",15,12,342.165
"18",15,18,37.797
"19",15,19,4.412
"20",15,13,40.858
"21",15,3,56.691
"22",15,20,7.863
"23",15,21,90.008
"24",15,22,93.494
"25",23,24,40.719
"26",25,24,82.233
"27",5,13,0.129
"28",5,3,1.401
"29",5,26,151.891
"30",5,19,2.096
"31",5,12,48.58
"32",27,15,7.013
"33",17,28,20.897
"34",17,3,6.242
"35",28,18,20.897
"36",29,15,6.995
"37",2,12,121.066
"38",2,30,128.69
"39",2,18,135.835
"40",2,31,14.458
"41",2,32,206.267
"42",2,19,3.64
"43",2,33,33.218
"44",2,20,4.413
"45",34,1,4.375
"46",24,5,122.952
"47",35,26,839.978
"48",36,37,504.287
"49",38,37,107.703
"50",37,2,611.99
"51",39,4,56.587
"52",39,1,77.81
"53",40,14,193.026
"54",40,13,70.672
"55",41,15,59.901
"56",42,14,19.263
"57",43,42,19.263
"58",43,41,59.901
"59",4,19,0.882
"60",4,26,400.12
"61",4,12,46.477
"62",26,15,525.531
"63",26,3,787.129
"64",26,11,79.329
"65",44,15,9.452
"66",45,1,182.01
"67",46,15,19.013
"68",47,15,289.366
