"","name"
"1","Agricultural 'waste'"
"2","Bio-conversion"
"3","Liquid"
"4","Losses"
"5","Solid"
"6","Gas"
"7","Biofuel imports"
"8","Biomass imports"
"9","Coal imports"
"10","Coal"
"11","Coal reserves"
"12","District heating"
"13","Industry"
"14","Heating and cooling - commercial"
"15","Heating and cooling - homes"
"16","Electricity grid"
"17","Over generation / exports"
"18","H2 conversion"
"19","Road transport"
"20","Agriculture"
"21","Rail transport"
"22","Lighting & appliances - commercial"
"23","Lighting & appliances - homes"
"24","Gas imports"
"25","Ngas"
"26","Gas reserves"
"27","Thermal generation"
"28","Geothermal"
"29","H2"
"30","Hydro"
"31","International shipping"
"32","Domestic aviation"
"33","International aviation"
"34","National navigation"
"35","Marine algae"
"36","Nuclear"
"37","Oil imports"
"38","Oil"
"39","Oil reserves"
"40","Other waste"
"41","Pumped heat"
"42","Solar PV"
"43","Solar Thermal"
"44","Solar"
"45","Tidal"
"46","UK land based bioenergy"
"47","Wave"
"48","Wind"
