id	PC1	PC2
s100	-0.0927283	0.0649802
s101	0.113692	-0.0127271
s102	0.0151022	-0.00439082
s103	-0.00364913	-0.0971538
s104	-0.0281721	-0.0672475
s105	0.00722597	0.0131932
s106	-0.0137905	-0.012811
s108	0.0441855	0.0391934
s109	0.00686695	0.0299571
s10	-0.0645179	0.0770904
s110	0.0891527	0.0961396
s112	0.0902219	0.0781687
s113	0.0300595	-0.128037
s114	0.114824	-0.00359338
s115	-0.00444039	-0.0374974
s116	0.0775869	0.0706069
s117	0.0187064	-0.115476
s118	-0.00186103	-0.0542587
s119	0.0302642	-0.103129
s11	0.00183644	-0.0321809
s120	0.000561223	-0.114784
s121	0.0155828	0.01768
s122	0.00341726	-0.0260271
s123	-0.0300699	-0.060266
s124	-0.138781	0.0572948
s125	-0.00108007	-0.0405381
s126	-0.0275458	-0.0544532
s127	0.0431859	-0.107283
s128	-0.0332293	-0.0112769
s129	-0.00933861	-0.00484929
s12	0.0711374	0.0781673
s130	-0.0225846	-0.0873061
s132	0.00453684	-0.0247181
s133	-0.00910997	-0.0599323
s134	0.0183131	-0.13657
s135	-0.0135527	-0.0169899
s136	-0.012809	-0.0091843
s137	0.0915913	0.0988565
s138	0.098582	0.0730294
s139	-0.00670384	-0.100649
s13	0.10212	0.0863961
s140	-0.0139684	-0.0122565
s141	-0.0110935	-0.0203746
s142	-0.0095197	-0.106654
s143	-0.0216007	0.0192674
s144	-0.0967324	0.0549272
s145	-0.137669	0.0651398
s146	0.00779774	0.0123281
s148	-0.0682995	0.0798096
s149	-0.0582516	0.0705143
s14	-0.0226003	-0.0876318
s150	0.0608955	0.0804494
s151	0.101747	0.0178496
s152	0.0876924	0.0935792
s153	-0.135638	0.0623683
s154	-0.0624557	0.0690855
s156	0.0219432	0.0110549
s157	-0.0288087	-0.0103631
s158	0.00128732	0.00302528
s159	-0.00214935	-0.0182559
s15	0.0767184	0.0740728
s160	-0.138121	0.0514939
s161	-0.00348163	0.033385
s162	-0.077914	0.0431586
s163	0.0668385	0.0966467
s164	0.0999533	0.0763056
s165	0.0597347	0.0484001
s166	-0.0142618	-0.00210351
s167	0.0286591	-0.0989379
s168	-0.105151	0.0639142
s169	-0.0542244	0.0649286
s16	0.00827892	-0.0362242
s170	0.0109433	0.0129772
s172	-0.0919363	0.0407013
s173	-0.00961611	-0.066525
s174	-0.0128783	-0.0336784
s175	0.0744224	0.0652815
s178	-0.112249	0.0555239
s17	-0.0077413	0.00941164
s180	-0.0577559	0.0450224
s181	-0.051323	-0.00984548
s182	0.00694531	0.00361595
s183	0.0124331	-0.0212386
s184	0.00338652	-0.00611654
s185	0.111786	0.00128459
s186	-0.132765	0.0484471
s187	0.107625	0.000119569
s188	-0.0924225	0.0551166
s189	0.0715024	0.0741472
s18	0.0988417	0.0916483
s190	-0.00666174	0.00538709
s191	-0.0279312	-0.0160246
s192	0.00120907	-0.02391
s193	0.116084	-0.00200705
s194	-0.146282	0.0572934
s195	0.0842715	0.0580366
s196	-0.00444954	0.0480084
s197	0.00129889	-0.0904628
s198	0.00421227	-0.0144831
s199	0.102841	0.0193342
s19	0.0866192	0.0795154
s1	0.0388466	-0.0411594
s200	-0.0768373	0.0648768
s201	-0.0361057	-0.0639716
s202	-0.0172706	0.000319015
s203	0.0728163	0.0690772
s204	-0.00615163	0.00318849
s205	0.0225232	-0.103669
s206	0.018783	-0.0190367
s207	0.0542698	0.0826926
s208	-0.112843	0.02784
s20	-0.00156469	-0.116782
s211	0.0119067	0.0207054
s212	-0.0918378	0.0448569
s213	0.0351871	-0.072211
s214	-0.0994764	0.0696896
s215	-0.163749	0.0456832
s216	0.0915385	0.0967385
s217	0.0961255	0.0598264
s218	-0.104898	0.0576821
s219	-0.0813371	0.0120083
s21	0.0381439	-0.116609
s220	-0.0269391	-0.015007
s221	-0.0916336	0.0471268
s222	-0.0255639	-0.0728523
s223	0.00671515	-0.0951317
s224	-0.13124	0.0493028
s225	0.00193965	0.0113261
s226	0.0138227	-0.0285753
s228	0.0352773	-0.0913829
s229	-0.157811	0.051894
s22	-0.0682839	-0.0134405
s230	-0.00612446	-0.00295706
s231	0.0846285	0.0812776
s232	0.0483184	-0.0840488
s233	0.111032	-0.00750712
s234	-0.0508913	-0.0221942
s235	-0.0116158	-0.0167832
s236	-0.0909262	0.0774454
s237	0.00160546	-0.0140621
s238	-0.00412972	-0.0881389
s239	-0.0387158	-0.0737412
s23	-0.0189052	-0.0615704
s240	-0.0748245	0.0445203
s241	0.108387	-0.0106224
s242	0.0101368	0.0205589
s243	-0.0149239	-0.00269957
s244	0.104315	0.0949847
s245	-0.063056	0.04973
s246	0.0273012	-0.126889
s247	0.0823356	0.0735619
s248	-0.0329548	-0.0393833
s249	-0.0517551	0.0712902
s24	-0.00958264	-0.0665358
