sample,Cluster
s224,1
s268,1
s178,1
s260,1
s160,1
s153,1
s215,1
s186,1
s194,1
s229,1
s49,1
s145,1
s57,1
s124,1
s93,1
s266,1
s58,1
s181,1
s262,1
s94,1
s100,1
s2,1
s162,1
s99,1
s188,1
s208,1
s219,1
s172,1
s144,1
s218,1
s240,1
s88,1
s221,1
s263,1
s10,1
s149,1
s148,1
s214,1
s236,1
s180,1
s245,1
s250,1
s253,1
s169,1
s200,1
s249,1
s87,1
s212,1
s154,1
s168,1
s193,2
s79,2
s151,2
s199,2
s241,2
s65,2
s101,2
s114,2
s187,2
s185,2
s233,2
s110,2
s152,2
s85,2
s137,2
s76,2
s112,2
s18,2
s164,2
s92,2
s138,2
s40,2
s97,2
s216,2
s244,2
s13,2
s26,2
s108,2
s203,2
s231,2
s15,2
s247,2
s150,2
s287,2
s207,2
s90,2
s280,2
s257,2
s64,2
s163,2
s254,2
s95,2
s12,2
s116,2
s50,2
s276,2
s165,2
s60,2
s217,2
s175,2
s195,2
s189,2
s41,2
s19,2
s265,2
s134,3
s34,3
s21,3
s246,3
s127,3
s45,3
s113,3
s86,3
s55,3
s119,3
s167,3
s213,3
s33,3
s232,3
s274,3
s7,3
s228,3
s8,3
s91,3
s42,3
s1,3
s54,3
s223,3
s258,3
s20,3
s32,3
s205,3
s5,3
s117,3
s43,3
s267,3
s96,3
s129,3
s29,3
s198,3
s122,3
s44,3
s141,3
s78,3
s62,3
s72,3
s24,3
s126,3
s118,3
s31,3
s239,3
s222,3
s284,3
s115,3
s133,3
s130,3
s27,3
s74,3
s39,3
s226,3
s264,3
s63,3
s104,3
s14,3
s139,3
s103,3
s120,3
s142,3
s16,3
s281,3
s75,3
s279,3
s47,3
s28,3
s4,3
s56,3
s82,3
s9,3
s197,3
s238,3
s25,3
s105,3
s170,3
s71,3
s272,3
s67,3
s283,3
s52,3
s270,3
s191,3
s157,3
s235,3
s146,3
s182,3
s211,3
s242,3
s190,3
s89,3
s98,3
s202,3
s204,3
s109,3
s61,3
s69,3
s158,3
s156,3
s17,3
s184,3
s140,3
s6,3
s166,3
s66,3
s81,3
s237,3
s73,3
s143,3
s196,3
s36,3
s255,3
s46,3
s161,3
s84,3
s225,3
s261,3
s35,3
s102,3
s121,3
s68,3
s128,3
s243,3
s173,3
s53,3
s174,3
s123,3
s70,3
s234,3
s11,3
s77,3
s183,3
s256,3
s259,3
s159,3
s80,3
s206,3
s37,3
s220,3
s201,3
s278,3
s22,3
s248,3
s269,3
s136,3
s230,3
s271,3
s48,3
s135,3
s38,3
s125,3
s23,3
s192,3
s30,3
s106,3
s277,3
s286,3
s132,3
s252,3
