id	group	sum	Froh_genome
s10	A	41143654	0.047913801
s100	A	37210042	0.043332917
s124	A	26178534	0.030486186
s144	A	39712992	0.046247725
s145	A	29503761	0.034358575
s148	A	63215653	0.073617726
s149	A	36935420	0.043013106
s153	A	14596630	0.016998491
s154	A	26868316	0.031289471
s160	A	22224150	0.025881112
s162	A	32436243	0.037773594
s168	A	46671331	0.054351052
s169	A	59301503	0.069059506
s172	A	32791079	0.038186818
s178	A	39199366	0.045649583
s180	A	44991599	0.052394922
s181	A	39599632	0.046115712
s186	A	30811164	0.03588111
s188	A	29552090	0.034414857
s194	A	47269075	0.055047154
s2	A	29580282	0.034447688
s200	A	59048777	0.068765194
s208	A	19521833	0.022734131
s212	A	36980718	0.043065858
s214	A	74449041	0.086699556
s215	A	25676479	0.029901518
s218	A	40188112	0.046801026
s219	A	31317430	0.036470682
s221	A	42863007	0.049916072
s224	A	26228280	0.030544117
s229	A	37190663	0.043310349
s236	A	122023945	0.142102863
s240	A	27652062	0.032202181
s245	A	40430509	0.047083309
s249	A	30575503	0.035606671
s250	A	24429831	0.028449735
s253	A	45576308	0.053075844
s260	A	46289099	0.053905924
s262	A	49323479	0.057439608
s263	A	52625549	0.061285031
s266	A	18762004	0.021849273
s268	A	13887615	0.016172808
s49	A	24328080	0.028331241
s57	A	22195446	0.025847684
s58	A	34569455	0.040257824
s87	A	48304179	0.056252583
s88	A	32025415	0.037295165
s93	A	15603161	0.018170646
s94	A	24642361	0.028697237
s99	A	32953175	0.038375587
s101	B	36858205	0.042923186
s108	B	23448406	0.027306818
s110	B	42818943	0.049864757
s112	B	34185699	0.039810922
s114	B	42591020	0.04959933
s116	B	54722434	0.063726956
s12	B	32284296	0.037596645
s13	B	57927618	0.06745955
s137	B	37536570	0.043713175
s138	B	54655402	0.063648894
s15	B	44394288	0.051699324
s150	B	46266382	0.053879469
s151	B	21686750	0.025255283
s152	B	39104833	0.045539494
s163	B	44352346	0.05165048
s164	B	41867502	0.048756758
s165	B	24827463	0.028912797
s175	B	30340742	0.035333281
s18	B	45710654	0.053232296
s185	B	25998387	0.030276396
s187	B	26267716	0.030590042
s189	B	28039120	0.032652929
s19	B	59138801	0.068870032
s193	B	38311420	0.044615526
s195	B	53583369	0.062400459
s199	B	39858875	0.046417613
s203	B	37052776	0.043149773
s207	B	48215128	0.056148879
s216	B	48328674	0.056281109
s217	B	55125968	0.064196891
s231	B	46565240	0.054227504
s233	B	24110556	0.028077924
s241	B	33727300	0.039277094
s244	B	51575714	0.060062446
s247	B	49440615	0.057576019
s254	B	43471752	0.050624985
s257	B	61252225	0.071331217
s26	B	28919272	0.033677909
s265	B	65604810	0.076400016
s276	B	32566060	0.037924773
s280	B	41315358	0.048113759
s287	B	52289552	0.060893746
s40	B	28240380	0.032887306
s41	B	34970984	0.040725424
s50	B	50321275	0.058601591
s60	B	35835845	0.041732598
s64	B	30309863	0.035297321
s65	B	31142922	0.036267459
s76	B	46285595	0.053901843
s79	B	34103475	0.039715168
s85	B	55634436	0.064789027
s90	B	59498094	0.069288446
s92	B	57736712	0.06723723
s95	B	50962345	0.059348148
s97	B	32680888	0.038058495
s1	C	31662896	0.036872994
s102	C	53199698	0.061953655
s103	C	53998809	0.062884259
s104	C	36660141	0.042692531
s105	C	25884582	0.030143864
s106	C	45898535	0.053451093
s109	C	39702951	0.046236032
s11	C	34706754	0.040417716
s113	C	13342829	0.015538378
s115	C	17201354	0.02003182
s117	C	31634424	0.036839837
s118	C	37236255	0.043363444
s119	C	36697886	0.042736486
s120	C	44168439	0.051436312
s121	C	62698036	0.073014935
s122	C	42951460	0.05001908
s123	C	45341716	0.05280265
s125	C	36867391	0.042933883
s126	C	56512516	0.065811594
s127	C	59278325	0.069032514
s128	C	44240432	0.051520151
s129	C	43684985	0.050873306
s130	C	35221634	0.041017319
s132	C	49083049	0.057159616
s133	C	72921458	0.084920611
s134	C	45238497	0.052682447
s135	C	43983026	0.051220389
s136	C	40077843	0.046672612
s139	C	42209433	0.049154953
s14	C	25627195	0.029844124
s140	C	44105554	0.051363079
s141	C	44270058	0.051554652
s142	C	40767516	0.04747577
s143	C	44254866	0.05153696
s146	C	34246264	0.039881453
s156	C	52385558	0.061005549
s157	C	32956960	0.038379995
s158	C	77356517	0.090085455
s159	C	39253187	0.04571226
s16	C	51871219	0.060406576
s161	C	56182704	0.065427512
s166	C	34353977	0.04000689
s167	C	38725774	0.045098061
s17	C	90838139	0.105785464
s170	C	31663383	0.036873561
s173	C	19099466	0.022242264
s174	C	44297609	0.051586736
s182	C	84320583	0.098195451
s183	C	57218532	0.066633784
s184	C	54901372	0.063935338
s190	C	47756898	0.055615248
s191	C	36419389	0.042412163
s192	C	42662471	0.049682538
s196	C	56556901	0.065863283
s197	C	52930091	0.061639685
s198	C	60755328	0.070752557
s20	C	21964691	0.025578959
s201	C	39514281	0.046016316
s202	C	37087192	0.043189852
s204	C	53690950	0.062525742
s205	C	34212685	0.039842348
s206	C	62995541	0.073361394
s21	C	52161429	0.06074454
s211	C	32710789	0.038093317
s213	C	30316802	0.035305401
s22	C	31095978	0.03621279
s220	C	22320434	0.025993239
s222	C	38995536	0.045412213
s223	C	38314629	0.044619263
s225	C	55245722	0.06433635
s226	C	31628052	0.036832416
s228	C	33204334	0.038668074
s23	C	39558832	0.046068198
s230	C	69074890	0.080441094
s232	C	48681000	0.05669141
s234	C	57374851	0.066815825
s235	C	28245448	0.032893208
s237	C	55145054	0.064219118
s238	C	35928565	0.041840574
s239	C	48042535	0.055947886
s24	C	11624076	0.013536806
s242	C	57964529	0.067502534
s243	C	38852478	0.045245614
s246	C	62870126	0.073215342
s248	C	35870883	0.041773401
s25	C	22099222	0.025735627
s252	C	42171526	0.049110808
s255	C	64189855	0.074752232
s256	C	52725196	0.061401074
s258	C	36556307	0.042571611
s259	C	33424422	0.038924377
s261	C	41519794	0.048351835
s264	C	35716500	0.041593614
s267	C	57428390	0.066878174
s269	C	20252818	0.023585399
s27	C	23737804	0.027643836
s270	C	49108982	0.057189816
s271	C	36531953	0.042543249
s272	C	45868169	0.05341573
s274	C	21385892	0.024904919
s277	C	51724298	0.06023548
s278	C	20271357	0.023606989
s279	C	61634881	0.071776839
s28	C	27050297	0.031501396
s281	C	55687927	0.06485132
s283	C	58148321	0.067716569
s284	C	30363669	0.03535998
s286	C	37653057	0.04384883
