asv	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV1	163546	148085	170671	159194	194828	147543	203118	217986	166337	159569	132704	147519	213055	160501	198863	230842	122134	119188
ASV2	104210	94730	160121	167760	153310	169939	169536	130183	135056	88737	119488	134100	203154	97053	173557	46878	115570	71685
ASV3	63038	42111	50353	37324	34454	29939	23211	20932	33592	82752	75421	56316	52371	68093	80797	80579	107541	123829
ASV4	33614	92712	35481	30242	30716	21809	19725	36127	22793	41215	46384	50746	22528	39579	32577	77244	89654	112409
ASV5	14244	14291	5741	7070	12546	15194	0	12601	8968	24265	50195	48569	13023	22309	17835	19381	11221	47041
ASV6	4800	7823	0	15580	2474	6121	125561	95228	118479	5184	9001	16103	12338	5114	5734	4183	2820	2668
ASV7	1717	8	0	1576	349	5611	7049	4526	0	3372	1506	8813	0	4	0	721	4284	1596
ASV8	9541	15021	2	7520	4875	21838	53639	48412	97380	9873	9825	10684	11271	13066	3870	7212	4884	9575
ASV9	14581	18095	10721	4547	7250	7831	2766	16240	6230	13588	17408	16964	13581	5419	11084	25678	29441	35983
ASV10	4778	16	6451	4535	96	1193	19215	26017	26729	0	17	2179	0	10	7574	1702	16	1813
ASV11	4948	0	2706	24	7374	6738	4884	3468	13429	2161	5253	488	527	683	404	2874	2095	2790
ASV12	9	5319	0	12698	11477	15546	0	104	5	4476	4776	1857	0	4	4055	2210	0	3972
ASV13	0	2961	0	0	0	11	0	0	0	7693	4687	0	1983	3320	3298	2355	7487	368
ASV14	0	0	0	1653	6959	0	0	13	2548	0	6955	0	0	2252	5481	1209	3089	371
ASV16	0	1719	0	0	69	0	5582	6802	8827	0	0	0	0	1348	4220	0	0	0
ASV17	0	0	4892	7	20	0	3512	0	5863	6178	17	0	0	0	0	3120	0	0
ASV18	0	0	0	1349	16	8	0	7	0	3158	4767	8228	0	0	0	1274	5	0
ASV19	21	0	0	4247	6177	2378	0	2736	0	0	7	0	0	16	0	789	0	8708
ASV20	10	0	0	1334	0	6	1750	1941	8928	0	0	0	3187	0	0	0	18	3654
ASV21	0	0	0	2728	7	4	9545	950	5342	0	2	0	0	4043	0	40	0	13
ASV22	16	0	0	9	0	0	4653	0	0	0	9	0	7277	9	0	632	2516	6001
ASV23	0	0	0	10	9	0	3	6605	0	0	0	0	7968	0	0	0	88	1516
ASV24	5981	0	0	885	13	0	2141	6214	5059	0	1400	0	0	0	0	0	0	9
ASV25	2559	0	0	3205	0	5389	6542	27	0	0	0	0	0	11	0	0	0	3673
ASV26	0	0	0	0	6	0	0	10752	5771	0	0	0	0	4797	0	0	0	19
ASV27	0	0	0	0	0	0	7676	4619	7640	0	0	0	0	0	0	0	301	0
ASV29	0	5241	0	7	0	4238	0	0	0	2510	13	0	0	0	12	1786	0	0
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	8578	0	0	0	0	0
ASV39	0	0	0	1979	0	0	0	0	0	0	0	0	0	0	7120	0	0	0
ASV44	0	0	0	0	0	0	0	7881	0	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	7017	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV55	0	15	0	0	0	0	0	0	0	0	0	0	0	0	6819	0	0	0
ASV58	0	0	6615	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
ASV59	0	0	0	0	6653	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	6035	0	0	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0	0	0	0	0	4982	0	0	0	6
