BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV1	0.342172929703764	0.292312065361361	0.340097244086643	0.284529043789097	0.362505093506547	0.285141959310989	0.26518821994963	0.295094084201976	0.219393037700038	0.310573017328125	0.240691836675469	0.256955185819991	0.328925124781738	0.322932490427777	0.313505307249799	0.424073747483209	0.21761844520072	0.192636099308089
ASV2	0.218029429056224	0.186992078547332	0.319074188470199	0.299839142091153	0.285254973029999	0.328424523178667	0.221343997367937	0.176232570732368	0.178134426493302	0.172710976684982	0.216721320990162	0.23358137201622	0.313639458355398	0.195273344050735	0.273610679766238	0.0861183369339976	0.205922705486164	0.115859975659465
ASV3	0.131888870058979	0.0831249173409343	0.100338760137895	0.0667095621090259	0.0641065477840688	0.0578601839450986	0.0303039798208474	0.0283362664139705	0.0443067442746934	0.161062225933214	0.136794814126933	0.0980937251787133	0.0808530084247936	0.137005015985562	0.127375571674278	0.148029554840322	0.191616627764018	0.200137056928729
ASV4	0.070327619501928	0.183008651813367	0.0707032261921368	0.0540518319928508	0.0571514692556875	0.0421481262453207	0.025752703544277	0.0489061865439285	0.030063218095174	0.0802177547592494	0.0841289648567863	0.0883916502933266	0.0347798700386426	0.0796340523650382	0.0513572780973671	0.141902914333583	0.159745558861786	0.181679626196622
ASV5	0.0298014699882627	0.0282096885307709	0.0114401291273937	0.0126362823949955	0.0233436102774403	0.0293639612165346	0	0.0170583457425206	0.0118284973403028	0.0472275583945939	0.0910411648625903	0.0845996544180149	0.020105568515325	0.0448863304836311	0.028116679094654	0.0356043237364608	0.019993585517524	0.0760294219850304
ASV6	0.0100426183616723	0.0154421939245833	0	0.027846291331546	0.00460322746902497	0.0118294594317762	0.163930809111431	0.128912955191553	0.156269908160318	0.0100897450120575	0.0163255608113991	0.0280489249334615	0.0190480307411564	0.0102895106949343	0.00903958721215284	0.00768447893243978	0.00502467793952568	0.00431212129538193
ASV7	0.00359232827645655	1.57915826916358e-05	0	0.00281680071492404	0.000649363939648227	0.0108438321959968	0.00920308275202072	0.00612697982943008	0	0.00656300543608368	0.00273150700832874	0.0153508771929825	0	8.04811161121182e-06	0	0.00132453007656923	0.00763323414642838	0.00257951483786715
ASV8	0.0199617962059825	0.0296506704513827	3.98541338700357e-06	0.0134405719392315	0.00907062809680546	0.0422041717155905	0.0700303810094538	0.0655367537565994	0.128441020405741	0.0192160595108109	0.0178200905423837	0.0186098685952371	0.0174007419746778	0.0262891565780234	0.00610101194820919	0.0132489749129227	0.00870231455909342	0.0154754727898358
ASV9	0.0305065454857384	0.0357185861006437	0.0213638084610326	0.00812689901697945	0.013489652041403	0.015134209575272	0.00361125363769177	0.0219845674834168	0.00821716530219516	0.0264466541712649	0.0315737543167242	0.029548653205691	0.020967037242312	0.0109031792052892	0.0174738026961113	0.0471723762914628	0.0524579940487857	0.058157069179808
ASV10	0.00999658969418135	3.15831653832716e-05	0.01285495087978	0.00810545129579982	0.000178621599444785	0.00230559469075462	0.0250868541750714	0.0352199810477867	0.0352546727708466	0	3.0833744449926e-05	0.00379547956467818	0	2.01202790280296e-05	0.0119403267430843	0.00312669929309407	2.8508811004401e-05	0.00293023834652452
