ASV	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	POND_A-1	POND_A-2	POND_A-3	POND_B-1	POND_B-2	POND_B-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
d16e43585a307d4a5545cb2dc077aa82	246020.0	223467.0	166936.0	159114.0	53130.0	207054.0	122491.0	167239.0	80832.0	303336.0	198062.0	194365.0	158423.0	223776.0	152450.0	201408.0	204043.0	139050.0	130131.0	230787.0	154603.0	246982.0	234142.0	249073.0
82425ee0400ea5abe165fa92919db352	9479.0	3211.0	4817.0	7.0	887.0	48.0	14747.0	2501.0	257.0	2782.0	2311.0	9594.0	7603.0	3258.0	1238.0	3106.0	18743.0	2457.0	18525.0	11773.0	7823.0	11816.0	9571.0	3495.0
26a855b7a039e011da9deef96bb14149	4106.0	0.0	1918.0	6911.0	1575.0	5488.0	7199.0	2158.0	3442.0	0.0	0.0	1380.0	12418.0	3300.0	14119.0	6372.0	7948.0	3219.0	1295.0	1068.0	948.0	3481.0	1984.0	0.0
ed6bd882babe5a382b2494384936037e	0.0	0.0	0.0	0.0	35.0	0.0	19133.0	27122.0	31675.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29b2112f56dd05fa0f040de8799ddacb	0.0	0.0	0.0	4.0	39.0	0.0	6859.0	24602.0	28185.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b76bc835d9e3f702c70b87852c0c0b6	0.0	0.0	0.0	0.0	39.0	0.0	9588.0	19388.0	23798.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6c0583c7a2eb6c49d6049345254217a2	5.0	0.0	1310.0	36.0	908.0	22.0	3824.0	3970.0	1619.0	0.0	0.0	9517.0	1903.0	8.0	6056.0	6597.0	4590.0	1990.0	0.0	8.0	2204.0	0.0	2143.0	0.0
e41c601269e633497866e6b8363b739e	1491.0	3310.0	451.0	268.0	19.0	58.0	18.0	641.0	114.0	2364.0	2347.0	933.0	311.0	1306.0	671.0	70.0	217.0	17601.0	1400.0	5836.0	1408.0	2.0	333.0	2992.0
514cda9377fe9b1ee2aa6b24bd94a647	0.0	0.0	0.0	2.0	17.0	0.0	6015.0	13596.0	16713.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3a90970a66bc2286f8d350f8d1c30fad	0.0	0.0	978.0	828.0	42.0	14.0	2050.0	0.0	1584.0	3.0	2368.0	0.0	6337.0	6376.0	2765.0	2337.0	2285.0	2596.0	6.0	0.0	9.0	0.0	3012.0	0.0
2e8ead32291ff3784cb853a3851dcd69	0.0	0.0	0.0	808.0	1617.0	995.0	5992.0	1516.0	0.0	0.0	0.0	7.0	2120.0	1198.0	2431.0	3542.0	3532.0	2262.0	0.0	0.0	6.0	0.0	1396.0	16.0
42ebdf36d68c4196c934c5843412ca93	0.0	0.0	0.0	1006.0	3306.0	6957.0	172.0	573.0	3635.0	0.0	0.0	0.0	3892.0	175.0	1102.0	1174.0	1951.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0
0e833bb3153a5b1ff90327df5c4842b4	0.0	0.0	1405.0	47.0	35.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	8510.0	0.0	9432.0	4180.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
0db8bfb0e8e1dfd96dd72d41bbdae399	0.0	0.0	5404.0	2432.0	411.0	3957.0	0.0	1844.0	0.0	0.0	0.0	0.0	2.0	0.0	2563.0	0.0	0.0	0.0	2201.0	0.0	13.0	0.0	0.0	3622.0
03414ef4129612d5c8afe42fafde9334	0.0	0.0	0.0	71.0	0.0	69.0	572.0	2017.0	575.0	0.0	0.0	0.0	4838.0	3738.0	7648.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0
7a3b0aa91ff3388dc52782496ba78234	937.0	1865.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1531.0	158.0	0.0	1396.0	0.0	0.0	0.0	2447.0	4648.0	142.0	2248.0	329.0	0.0	2949.0
c1267660564e56f4551bef0a22f16812	13.0	0.0	0.0	1490.0	2986.0	1804.0	0.0	6.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2448.0	0.0	8801.0	0.0	10.0	0.0
7303c3033722eb101ed1cb65e9e98d57	0.0	3150.0	0.0	1593.0	0.0	18.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3247.0	1962.0	3772.0	3107.0	9.0
631ab4711a7a17e32c0308deb931651d	0.0	0.0	0.0	2400.0	0.0	0.0	0.0	11.0	0.0	0.0	4910.0	1383.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	28.0	0.0	2373.0	0.0	1819.0
b53c46757bc432ccd17b7b12ba016485	0.0	0.0	0.0	0.0	0.0	0.0	2171.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3931.0	0.0	3.0	6513.0	0.0
09600cff9e8bbe5098c7b30b07a7e61d	0.0	0.0	0.0	1333.0	178.0	2767.0	1096.0	2265.0	2599.0	0.0	0.0	0.0	688.0	958.0	0.0	0.0	673.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bac1ed0453a376e03647938dec8a1668	0.0	0.0	0.0	0.0	10.0	0.0	3253.0	3980.0	5201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33821536c0c8ebad02fd87adfa29a0e7	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d97429ca17c1bd29da6d9e9403fde68b	0.0	0.0	0.0	0.0	0.0	6.0	2066.0	0.0	0.0	0.0	0.0	0.0	4455.0	2284.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
9490b1d120d6d92f6e33b2b9567b1318	3076.0	0.0	0.0	0.0	0.0	0.0	0.0	1880.0	0.0	0.0	2074.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
8f415e3b89b6f0e3bf82b5e2bfe7ca1d	0.0	0.0	0.0	2452.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1970.0	2308.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
7c2302ec7d05016fb814f8606fdc14fd	0.0	3541.0	1510.0	0.0	839.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
5fffd4ae7d4ce734e4c6249a5af60ee2	1819.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3209.0
c0dbbf5097d9aa05f09947d5769983ca	0.0	0.0	0.0	20.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1041.0	1581.0	2780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2cd3e14a666b713cc19b9b0ad176b60c	0.0	0.0	0.0	0.0	0.0	0.0	1985.0	3352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03769b960cb6f9f5fcfed65a8be1422a	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	1544.0	0.0	0.0	0.0	0.0	3395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e964841ee474ae9374db8cae0893b4f8	1443.0	211.0	484.0	113.0	366.0	0.0	0.0	0.0	318.0	22.0	0.0	0.0	0.0	0.0	0.0	29.0	161.0	0.0	100.0	111.0	0.0	781.0	390.0	31.0
facdf68d0ba504393956c8b457d6c328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	766.0	0.0	3410.0
80066f82977e640f5d84de40fd0b43b9	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2981.0	0.0	0.0	805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abde48ca2390ccca86eccf2c90084a4b	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2200.0	1300.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
a886fa5cec7b24106ff0f214e982132f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0
c3e7f8243cc56f7a41e32af2d01e2471	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1682.0	0.0	1651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98058b6bcc3a1b2f2c03cd6643e55d2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	880.0	0.0	0.0	0.0	2403.0	0.0	0.0	0.0	0.0	0.0
a6b85c512b35611043277f9dfbce70b2	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0da86fba7f064414b3490df4f837d6f5	0.0	0.0	0.0	0.0	10.0	0.0	0.0	272.0	386.0	0.0	0.0	0.0	429.0	117.0	3.0	909.0	384.0	463.0	0.0	0.0	0.0	0.0	0.0	0.0
a5c26007eb1216cdacc3fca31f80aa4a	0.0	0.0	0.0	0.0	0.0	0.0	899.0	1947.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a240c1b3ff6beceb7fbcad2ddffa3a41	0.0	0.0	0.0	2798.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7df44e6cf07428ec415483d5c6644753	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2677.0	0.0	4.0	0.0
73f2e0cff0745a254917eb9de831b5af	0.0	0.0	0.0	930.0	1676.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d9ca92b9cc6c83d81893924c70363108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	2553.0	0.0	0.0
56d78b856de86d9161e0cbd782786aba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2575.0	0.0	0.0
bc808f12e191995468c134f0340fb812	0.0	0.0	0.0	0.0	0.0	2572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9bce9ae77003cf88b47c84dded5d4f23	0.0	0.0	0.0	2526.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
