asv	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV1	0.902027931	0.916329058	0.876299862	0.808530748	0.708069568	0.8656357	0.554840375	0.562161126	0.366310924	0.923040408	0.899370184	0.836226665	0.760106541	0.863051966	0.812144103	0.872546006	0.865113117	0.882098993
ASV2	0.034754584	0.013166743	0.025285957	3.56E-05	0.01182115	0.000200675	0.06679863	0.00840692	0.001164661	0.008465525	0.010493908	0.041276766	0.108206144	0.044026357	0.041094955	0.041743947	0.035363146	0.01237764
ASV3	0.015054576	0	0.010068189	0.035117941	0.020990205	0.022943815	0.032608893	0.007253952	0.015598305	0	0	0.005937246	0.007564208	0.003993897	0.004979933	0.01229779	0.007330528	0
ASV4	0	0	0	0	0.000466449	0	0.08666564	0.091168532	0.14354338	0	0	0	0	0	0	0	0	0
ASV5	0	0	0	2.03E-05	0.000519757	0	0.031068814	0.082697744	0.127727551	0	0	0	0	0	0	0	0	0
ASV6	0	0	0	0	0.000519757	0	0.043430207	0.065171281	0.107846736	0	0	0	0	0	0	0	0	0
ASV7	1.83E-05	0	0.006876604	0.000182932	0.01210102	9.20E-05	0.017321351	0.013344852	0.007336913	0	0	0.040945485	0	2.99E-05	0.011577819	0	0.007918005	0
ASV8	0.005466725	0.013572694	0.002367442	0.00136183	0.000253215	0.000242482	8.15E-05	0.002154673	0.00051662	0.007193566	0.010657379	0.004014095	0.008177522	0.021824328	0.007396356	7.07E-06	0.001230376	0.010596252
ASV9	0	0	0	1.02E-05	0.000226561	0	0.027245796	0.045701916	0.075739243	6.09E-06	0	8.60E-06	0	0	0	0	0	0
ASV10	0	0	0.005133831	0.004207445	0.000559739	5.85E-05	0.009285766	0	0.007178302	9.13E-06	0.010752737	0	3.50E-05	0	4.73E-05	0	0.011128805	0
ASV11	0	0	0	0.004105816	0.021549943	0.004159821	0.027141615	0.005095918	0	0	0	3.01E-05	0	0	3.15E-05	0	0.005157972	5.67E-05
ASV12	0	0	0	0.005111944	0.044059439	0.029085299	0.000779098	0.001926096	0.016472934	0	0	0	0	0	0	0	0	0
ASV14	0	0	0.028367305	0.0123581	0.005477444	0.016543126	0	0.006198465	0	0	0	0	0.012856233	0	6.83E-05	0	0	0.012827414
ASV16	0.003435494	0.007647454	0.00176377	0	0	0	0	0	0	0	0.006952044	0.000679772	0.027149374	0.000531024	0.011808955	0.001162302	0	0.010443966
ASV17	4.77E-05	0	0	0.007571369	0.039794762	0.007542027	0	2.02E-05	0	0	2.72E-05	0	0.014298982	0	0.046232481	0	3.69E-05	0
ASV18	0	0.012916612	0	0.008094759	0	7.53E-05	0	2.69E-05	0	0	0	0	0	0.012142494	0.010306571	0.013325844	0.011479813	3.19E-05
ASV19	0	0	0	0.012195494	0	0	0	3.70E-05	0	0	0.022295582	0.005950153	1.17E-05	0.000104709	0	0.008383411	0	0.006442039
ASV20	0	0	0	0	0	0	0.009833853	0	0	0	0	0	0	0.014700383	0	1.06E-05	0.024064379	0
ASV21	0	0	0	0.00677358	0.002372226	0.011568064	0.004964488	0.007613625	0.011778035	0	0	0	0	0	0	0	0	0
ASV22	0	0	0	0	0.000133271	0	0.014734925	0.013378466	0.023569664	0	0	0	0	0	0	0	0	0
ASV23	0	2.05E-05	0	0	0	0	0	0	0	0.034318544	0	0	0	0	0	0	0	0
ASV25	0.011278099	0	0	0	0	0	0	0.006319476	0	0	0.009417727	0	0	0	2.63E-05	0	0	0
ASV26	0	0	0	0.012459729	0	0	0	4.71E-05	0	0	0	0	0	0	0	0	0	0
ASV27	0	0.014519912	0.007926468	0	0.011181449	0	0	0	0	0	0	0	0	0	0	0	0	1.77E-05
ASV28	0.006669331	8.20E-06	0	0	0	0	0	0	0	0	0	0.003682813	0	0	1.05E-05	0	0	0.011364763
ASV30	0	0	0	0	0	0	0.008991339	0.011267492	0	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74E-05	0	0.00270615	0	0.01207661
ASV34	0	0	0	0	8.00E-05	0	0	0	0.013509165	0	0	0.003463393	0	0	0	0	0	0
ASV36	0	0	0	0	0	0	0	0	0	0	0.015684102	0	0	0	0	0	0	0.000216033
ASV38	0	0	0	0	0	0	0	0	0	0	5.45E-05	0	0.014036133	0	0	0	0	0
ASV42	0	0	0	0.014217913	0	0	0	3.70E-05	0	0	0	0	0	0	0	0	0	0
ASV43	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014062533	0	1.48E-05	0
ASV44	0	0	0	0.004725754	0.022336243	0	0	1.68E-05	0	0	0	0	0	0	0	0	0	0
ASV47	0	0	0	0	0	0.010752823	0	0	0	0	0	0	0	0	0	0	0	0
ASV48	0	0	0	0.012835757	0	0	0	3.03E-05	0	0	0	0	0	0	0	0	0	0
ASV49	0	0	0	0	0	0	0	0	0.011406431	0	0	0	0	0	0	0	0	0
ASV122	0	0	0	0	0.011554608	0.000560217	0	0	0.000163143	0	0	0	0	0	0	0	0	0
ASV135	0	0	0	0	0.010941561	0.000426434	0	0	0	0	0	0	0	0	0	0	0	0
ASV157	0	0	0	0	0.010595056	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	0	0.010061971	0	0	0	9.06E-06	0	0	0	0	0	0	0	0	0
