ASVs,OTUs,Groups
ASV1,312840,BJ
ASV2,67051,BJ
ASV3,101051,BJ
ASV4,73446,BJ
ASV5,67677,BJ
ASV6,15,BJ
ASV7,19185,BJ
ASV8,33203,BJ
ASV9,14359,BJ
ASV10,10245,BJ
ASV11,27181,BJ
ASV12,252,BJ
ASV13,12124,BJ
ASV14,7205,BJ
ASV15,456,BJ
ASV1,621206,WLD
ASV2,30714,WLD
ASV3,110369,WLD
ASV4,82830,WLD
ASV5,38625,WLD
ASV6,330324,WLD
ASV7,62995,WLD
ASV8,16503,WLD
ASV9,13330,WLD
ASV10,2962,WLD
ASV11,7891,WLD
ASV12,1,WLD
ASV13,1120,WLD
ASV14,1808,WLD
ASV15,13,WLD
ASV1,656986,WZ
ASV2,30684,WZ
ASV3,176435,WZ
ASV4,63341,WZ
ASV5,83886,WZ
ASV6,10040,WZ
ASV7,21484,WZ
ASV8,36798,WZ
ASV9,13735,WZ
ASV10,8279,WZ
ASV11,12649,WZ
ASV12,49963,WZ
ASV13,20089,WZ
ASV14,19986,WZ
ASV15,2589,WZ
ASV1,345137,MW
ASV2,136481,MW
ASV3,122936,MW
ASV4,92069,MW
ASV5,111014,MW
ASV6,199,MW
ASV7,19136,MW
ASV8,39661,MW
ASV9,15516,MW
ASV10,10686,MW
ASV11,14550,MW
ASV12,122,MW
ASV13,4088,MW
ASV14,12491,MW
ASV15,163,MW
ASV1,110028,HLDB
ASV2,324406,HLDB
ASV3,58682,HLDB
ASV4,100263,HLDB
ASV5,95493,HLDB
ASV6,1073,HLDB
ASV7,46442,HLDB
ASV8,37298,HLDB
ASV9,26064,HLDB
ASV10,17327,HLDB
ASV11,1170,HLDB
ASV12,165,HLDB
ASV13,5703,HLDB
ASV14,732,HLDB
ASV15,108,HLDB
ASV1,145096,HLDN
ASV2,327703,HLDN
ASV3,79557,HLDN
ASV4,127343,HLDN
ASV5,126972,HLDN
ASV6,2124,HLDN
ASV7,62682,HLDN
ASV8,45640,HLDN
ASV9,33163,HLDN
ASV10,22439,HLDN
ASV11,1609,HLDN
ASV12,244,HLDN
ASV13,6465,HLDN
ASV14,936,HLDN
ASV15,99,HLDN
