ASVs,OTUs,Groups
ASV1,440786,2021_WSQD
ASV2,262735,2021_WSQD
ASV3,499286,2021_WSQD
ASV4,280966,2021_WSQD
ASV5,295164,2021_WSQD
ASV6,340350,2021_WSQD
ASV7,122413,2021_WSQD
ASV8,124494,2021_WSQD
ASV9,53492,2021_WSQD
ASV10,32108,2021_WSQD
ASV11,62173,2021_WSQD
ASV12,78,2021_WSQD
ASV13,37235,2021_WSQD
ASV14,41408,2021_WSQD
ASV15,3214,2021_WSQD
ASV1,1495383,2022_WSQD
ASV2,2195,2022_WSQD
ASV3,11505,2022_WSQD
ASV4,30720,2022_WSQD
ASV5,6038,2022_WSQD
ASV6,228,2022_WSQD
ASV7,387,2022_WSQD
ASV8,1671,2022_WSQD
ASV9,3448,2022_WSQD
ASV10,64,2022_WSQD
ASV11,98,2022_WSQD
ASV12,50260,2022_WSQD
ASV13,186,2022_WSQD
ASV14,82,2022_WSQD
ASV15,7,2022_WSQD
ASV1,122218,2021_HLD
ASV2,313531,2021_HLD
ASV3,65233,2021_HLD
ASV4,99210,2021_HLD
ASV5,108276,2021_HLD
ASV6,1480,2021_HLD
ASV7,52415,2021_HLD
ASV8,35889,2021_HLD
ASV9,26670,2021_HLD
ASV10,18003,2021_HLD
ASV11,1335,2021_HLD
ASV12,200,2021_HLD
ASV13,5909,2021_HLD
ASV14,801,2021_HLD
ASV15,35,2021_HLD
ASV1,132906,2022_HLD
ASV2,338578,2022_HLD
ASV3,73006,2022_HLD
ASV4,128396,2022_HLD
ASV5,114189,2022_HLD
ASV6,1717,2022_HLD
ASV7,56709,2022_HLD
ASV8,47049,2022_HLD
ASV9,32557,2022_HLD
ASV10,21763,2022_HLD
ASV11,1444,2022_HLD
ASV12,209,2022_HLD
ASV13,6259,2022_HLD
ASV14,867,2022_HLD
ASV15,172,2022_HLD
