#OTU ID	2021_BJ	2021_HLDB	2021_HLDN	2021_MW	2021_WLD	2021_WZ	2022_BJ	2022_HLDB	2022_HLDN	2022_MW	2022_WLD	2022_WZ
ASV_1	99904	43562	78656	117985	202580	20317	212936	66466	66440	227152	418626	636669
ASV_10	10242	7137	10866	10658	2938	8270	3	10190	11573	28	24	9
ASV_11	27162	484	851	14541	7837	12633	19	686	758	9	54	16
ASV_12	0	72	128	78	0	0	252	93	116	44	1	49963
ASV_13	12120	2320	3589	3991	1053	20071	4	3383	2876	97	67	18
ASV_14	7203	240	561	12485	1754	19966	2	492	375	6	54	20
ASV_15	456	11	24	163	12	2583	0	97	75	0	1	6
ASV_16	0	199	136	45	0	0	0	112	119	0	0	3
ASV_17	0	0	7	2	0	0	1	0	0	208	0	0
ASV_18	9	0	0	3	3	0	11	0	0	33	49	35
ASV_19	0	25	43	7	0	0	0	6	14	0	0	0
ASV_2	66977	152808	160723	135041	30214	30503	74	171598	166980	1440	500	181
ASV_20	0	6	15	11	0	0	0	17	1	0	0	0
ASV_21	0	0	0	0	47	2	0	0	0	0	0	0
ASV_22	0	0	0	0	0	0	0	0	0	50	0	0
ASV_23	0	0	48	0	0	0	0	0	0	0	0	0
ASV_24	1	0	0	1	5	0	3	0	0	8	17	7
ASV_25	14	0	0	10	2	3	0	0	0	0	0	0
ASV_26	9	0	0	6	5	9	0	0	0	1	0	0
ASV_27	0	0	10	5	0	0	0	0	13	0	0	0
ASV_28	10	0	0	4	10	2	0	0	0	0	1	0
ASV_29	0	0	0	0	0	0	0	0	0	27	0	0
ASV_3	100951	22918	42315	115871	106366	176098	100	35764	37242	7065	4003	337
ASV_30	9	0	0	10	4	3	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	28	0	0	0
ASV_32	0	0	0	0	15	0	0	0	0	0	0	0
ASV_33	0	2	5	2	0	0	0	1	6	0	0	0
ASV_34	0	0	0	0	0	0	0	0	16	0	0	0
ASV_35	0	0	8	2	0	0	0	0	0	0	0	0
ASV_36	0	0	10	0	0	0	0	0	0	0	0	0
ASV_37	1	0	0	3	1	4	0	0	0	0	0	0
ASV_38	0	9	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	9	0	0	0	0	0	0	0	0
ASV_4	72943	36927	62283	75637	74627	57759	503	63336	65060	16432	8203	5582
ASV_40	0	0	0	0	0	0	0	9	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	8	0	0
ASV_5	67569	40276	68000	110168	38397	79030	108	55217	58972	846	228	4856
ASV_6	15	513	967	199	330291	9845	0	560	1157	0	33	195
ASV_7	19150	19729	32686	19052	62861	21350	35	26713	29996	84	134	134
ASV_8	33181	14384	21505	38113	16430	36770	22	22914	24135	1548	73	28
ASV_9	14272	9910	16760	15071	13186	10963	87	16154	16403	445	144	2772
